,Events,,Content,,Product,,,Open Source,,,,Community,,,,,Social,,,,To categorize somewhere:,,,,,,
,7an,5gb,nxt,zzj,ajo,rqu,mrq,rbu,jnv,kfs,i8n,4x9,ngj,vyn,bvi,klo,w3e,cik,o41,0j9,keg,rp2,xp6,vap,3dm,9qp,qdn
Lead ID,"🎤 Run an Ops Event (for a given month, i.e. Community Call, Calendar)",🎙️ Gave a talk about us,📚 Wrote blog post for MGD (for internal publication),💌 Follow MGD on Medium,🆘 Successful support interaction,🌱 Starting using new feature (Educational Call),🙋‍♂️ Fill member feedback surveys,📝 Submit MGD Improvement Proposal (MIP),✍️ Contributed to our Documentation,📋 Opened a Ticket on Notion,⭐ Create Discourse Account,🏵 Attended Committee Call,🤓 Answered forum question,📞 Attended DAO-Wide Call,👐 Onboarding a new member,👋 Joined the DAO,🎳 Posted about us in external/private forum,🗣 Tweeted about us,🐦 Retweeted our tweet,🐦 Followed us on twitter,"🏋️‍♀️ Grants - promote & update grants criteria, outreach",🔎 Grants - review applications (as part of a team),"👩‍💼 Grants - administration - followup, refinement, onboarding",🧮 Grants - accounting and payments,"🏦 Treasury reports to the DAO (monthly or quarterly) - assets held, money in, money out in the period",💰 Fundraising - close a grant (upon receipt),🚚 Fundraising - create and deliver a marketing/outreach campaign
mgd71,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
mgd2,,,,,,,,,,,,,,,,,,,1,,,,,,,,
mgd3,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd4,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd5,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd72,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd73,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd6,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd7,,,,,,,,,,,,,,,,,,1,,,,,,,,,
mgd8,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd9,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd10,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd11,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd12,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd13,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd14,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd15,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd16,,,,,,,,,,,,,,,,,,1,,,,,,,,,
mgd17,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd74,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd18,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd19,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd20,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd21,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,
mgd22,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd23,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
mgd24,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd25,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd26,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd27,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgd28,,,,,,,,,,,,,,,,,,,,,,,,,,,
